"Friday, November 21, 2025",Danny Brab,"Crown, Market Drayton",8:30pm,"Indie, Britpop and US alternative ",,
"Friday, November 21, 2025",David Live the David Bowie tribute show ,Eleven Sandyford St6 5pd,£18.00 adv,,,
"Friday, November 21, 2025",Raw Talent ,"The Broughton, Haslington ",9pm,Classic Rock,,
"Friday, November 21, 2025",The VANZ,"Bankers Draught, Leek",8pm,Bluesy funky rock & americana,,
"Friday, November 21, 2025",Tru80’s,"The Cosey Club, Haslington",,,,
"Saturday, November 22, 2025",Acoustic Anarchy ,Swifty's Meir ,9pm,Mixed,,
"Saturday, November 22, 2025",Circa 81,"Ye Old Queens Head, Talke",8pm,,,
"Saturday, November 22, 2025",Crosshair,"The Bridge Inn, Stone",8pm,Hard Rock,https://www.facebook.com/events/1078727447781316/?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22calendar_hosting_events_unit%22%2C%22surface%22%3A%22bookmark_calendar%22%7D]%2C%22ref_notif_type%22%3Anull%7D,
"Saturday, November 22, 2025",Danny Brab,"New Old Sal, Longton",9pm,"Indie, Britpop and US alternative scene",,
"Saturday, November 22, 2025",Demon + guests & our 9th birthday partay !! ,Eleven Sandyford St6 5pd,£18.00 adv,,,
"Saturday, November 22, 2025",John Sewell,"The Cuckoo, Stoke",8.15pm,Acoustic Music Through the Eras ,,
"Saturday, November 22, 2025",Sac N Craic ,Rose N Crown Stanley ,9pm,Folk,,
"Saturday, November 22, 2025",The Pluckers ,"The Windmill, Werrington ",9pm ,Acoustic Classics ,,
"Saturday, November 22, 2025",Ultimate Stone Roses,"Artisan Tap, Hartshill, Stoke-On-Trent",19:30,,,
"Sunday, November 23, 2025",Buffest  (doors 1-8pm)   £,Eleven Sandyford St6 5pd,15.00 adv,,,
"Sunday, November 23, 2025",John Otway Band,"Artisan Tap, Hartshill, Stoke-On-Trent",19:30,,,
"Tuesday, November 25, 2025",the MOB,The Glebe Stoke,,,,
"Friday, November 28, 2025",ALIBI ,"The Butcher's Arms, Forsbrook ",9pm,Rock covers,,
"Friday, November 28, 2025",Catalyst,"The Peel, Ashley",9pm,Covers 60s - 20s,Catalyst Facebook page,
"Friday, November 28, 2025",Circa 81,Swiftys Meir,8pm,,,
"Friday, November 28, 2025",Crosshair,The Locomotive Inn,9pm,Hard Rock,https://www.facebook.com/events/23978609321759636/,
"Friday, November 28, 2025",Danny Brab & Friends ,"Pau Café, Trentham Estate",7:30pm,Various,,
"Friday, November 28, 2025",Eddie Lees Back to Back ,The Top Pub Brown Edge,9pm,60s and 70s Rock and Roll ,,
"Friday, November 28, 2025",Henry Myles Music,Moorland Inn,8.30pm,Indie,,
"Friday, November 28, 2025",Oasish ,Eleven Sandyford St6 5pd,£18.00 adv,,,
"Friday, November 28, 2025",The VANZ,"Granvilles, Stone",9.30pm,Bluesy Funky Rock n Pop Classics,,
"Saturday, November 29, 2025",Bone China,"The White Hart Inn, ST10 4DZ",9pm,Covers band,,
"Saturday, November 29, 2025",Circa 81,"The Linley, Alsager",8pm,,,
"Saturday, November 29, 2025",Craig Harrison ,"Dog And Rot Club, Leek ",9.15pm ,Decades Show. 60's through to the Noughties ,,
"Saturday, November 29, 2025",Danny Brab,"Swan & Chequers, Sandbach",9pm,"Indie, Britpop and US alternative ",,
"Saturday, November 29, 2025",Ghost tribute Popestars ,Eleven Sandyford St6 5pd,£12.00 adv,,,
"Saturday, November 29, 2025",Native Way,The Eight Farmers,,,,
"Saturday, November 29, 2025",Rocket Science ,"The Green Star, Smallthorne ",9pm,Rock & indie covers,,
"Saturday, November 29, 2025",Sac N Craic ,Westbury Tavern Clayton,9pm,Folk,,
"Saturday, November 29, 2025",Southbound,Moorland Inn,8.30pm,Country/Alternative,,
"Saturday, November 29, 2025",The Pluckers duo ,"Rose & Crown, Biddulph Moor ",9pm ,Acoustic Pop / Folk ,,
"Saturday, November 29, 2025",Tourniquet ,"The Old Post Office, Burslem",9pm,Rock Covers,,
"Saturday, November 29, 2025",Trilogy Rock Band ,"The Green Star, Smallthorne",9pm,Classic Rock ,,
"Saturday, November 29, 2025",Ultrᛟvᛨoleᛠ,"Rose & Crown, Stockton Brook",9pm,"Pop, Indie, Disco, and Rock hits from the 80's, 90's, and 00's.",,
"Sunday, November 30, 2025",Bejeweled -The Taylor Swift Tribute,"Artisan Tap, Hartshill, Stoke-On-Trent",1:00 PM,,,
"Sunday, November 30, 2025",Chasing Twisters,"Artisan Tap, Hartshill, Stoke-On-Trent",7:30 PM,,,
"Sunday, November 30, 2025",Crosshair,"King's Hall, Stoke",11am,Hard Rock,https://www.facebook.com/events/1078727447781316/?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22calendar_hosting_events_unit%22%2C%22surface%22%3A%22bookmark_calendar%22%7D]%2C%22ref_notif_type%22%3Anull%7D,
"Sunday, November 30, 2025",Danny Brab,"Hog Noggins, Burslem ",9:30pm,"Indie, Britpop and US alternative scene ",,
"Sunday, November 30, 2025",Dogshark,"The Cosey Club, Haslington",,,,
"Sunday, November 30, 2025",Midnite City / Wildstreet. ,Eleven Sandyford St6 5pd,(doors 2-6pm)   £15.00 adv,,,
1/12/2025,Aa Gig List Form,,,,,
1/12/2025,Aa You Can Add Your Own Gigs By Clicking Gig List Form Above,,,,,
"Tuesday, December 2, 2025",Bad Soul Buskers,The Glebe Stoke,,,,
